运行编号,运行目的,分析版本,数据快照,队列规则版本,特征规则版本,模型配置版本,评价脚本版本,代码提交或版本,运行命令,工作目录,Python版本,关键依赖版本,操作系统,随机种子,输入文件,输入SHA256,split,方法名称,特征组,开始时间,结束时间,退出状态,日志文件,输出文件,输出SHA256,执行人,复核人,问题编号,备注
RUN_20260813_144508_环境搭建,创建项目独立虚拟环境并安装依赖,NA,NA,NA,NA,NA,NA,osha-main zip（README版本时间2026-08-12 17:25:51 CST）,python -m venv .venv; python -m pip install --upgrade pip; python -m pip install -r 程序/requirements.txt,C:\Users\LENOVO\Desktop\小刘skill\osha-main,3.12.13（Codex运行时Python创建venv）,"pandas 2.3.3, numpy 2.5.2, scikit-learn 1.9.0, joblib 1.5.3, PyYAML 6.0.3, requests 2.34.2, matplotlib 3.11.1",Windows（PowerShell 5.1）,NA,程序/requirements.txt,e06f5924f250b44b98cd4a97b9227c4ca8fdde6863491cb11fbeee931d1882c7,NA,NA,NA,2026-08-13 14:45:08,2026-08-13 14:46:12,通过,记录表/过程记录_20260813_环境搭建与自检.md,.venv,NA,待核对,待核对,NA,系统无全局Python；中文路径调用exe需短路径（SKILL~1/OSHA-M~1/VENV~1）；未触碰数据目录
RUN_20260813_144749_自检,离线自检 smoke_test（首次运行）,NA,NA,NA,NA,NA,NA,osha-main zip（关键文件SHA256与基线一致）,python 程序/smoke_test.py,C:\Users\LENOVO\Desktop\小刘skill\osha-main,3.12.13（.venv）,同RUN_20260813_144508_环境搭建,Windows（PowerShell 5.1）,20260812（config固定）,程序/smoke_test.py; 程序/fixtures/*.csv,c02f1ae2e3332e43f3bd8c5f82693cdf92b4339ae61b863944f4f84bae426e15,NA,NA,NA,2026-08-13 14:47:49,2026-08-13 14:47:53,不通过,记录表/过程记录_20260813_环境搭建与自检.md,NA,NA,待核对,待核对,NA,matplotlib默认Tk后端，本机无Tcl/Tk（_tkinter.TclError）；环境问题非代码/数据问题；以MPLBACKEND=Agg重跑
RUN_20260813_144807_自检,离线自检 smoke_test（MPLBACKEND=Agg重跑）,NA,NA,NA,NA,NA,NA,osha-main zip（关键文件SHA256与基线一致）,='Agg'; python 程序/smoke_test.py,C:\Users\LENOVO\Desktop\小刘skill\osha-main,3.12.13（.venv）,同RUN_20260813_144508_环境搭建,Windows（PowerShell 5.1）,20260812（config固定）,程序/smoke_test.py; 程序/fixtures/*.csv,c02f1ae2e3332e43f3bd8c5f82693cdf92b4339ae61b863944f4f84bae426e15,NA,NA,NA,2026-08-13 14:48:07,2026-08-13 14:48:54,不通过,记录表/过程记录_20260813_环境搭建与自检.md,NA,NA,待核对,待核对,ISSUE_20260813_001,01/02/03/03b全部通过；04阶段因POSIX 0700/0600权限门在Windows不支持而停止；正式流水线需Linux/macOS或等价ACL/独立账户环境
RUN_20260813_145605_字段核对,官方字段核对（门0：--metadata-only）,NA,NA,NA,NA,NA,NA,osha-main zip（关键文件SHA256与基线一致）,python 程序/00_download_official_data.py --metadata-only,C:\Users\LENOVO\Desktop\小刘skill\osha-main,3.12.13（.venv）,requests 2.34.2 等（同RUN_20260813_144508_环境搭建）,Windows（PowerShell 5.1）,NA,官方资料/DOL_OSHA字段元数据_20260812.csv; 程序/config.yaml,316699a72f3f54f75f80c957390ff1dd59f69c1e97f6b9864c40aee057bb0c71; 15d26cf0ffc6e3ed6fca982c0087ed497285397ac3767a563f9c447cb12397d4,NA,NA,NA,2026-08-13 14:56:05,2026-08-13 14:56:10,通过,记录表/过程记录_20260813_环境搭建与自检.md,数据/00_原始数据/metadata_inspection.json; 数据/00_原始数据/metadata_violation.json; 数据/00_原始数据/schema_diff.json,20b33ccb8b1127a3c8395950de3ae76cff5259d91fff5d29a2a65b0f84c83cb6; 28fa3c13755c80efc946184b1fac72ef6b7a67b09727f98f4e4d8ba7320ceab1; cab5328390a3baa058f463bdf7f751f1983e085e0ef722ed9e257bf64b8565f4,待核对,待核对,NA,官方字段与必需字段一致（missing_required为空）；未请求或记录API密钥；未下载正式数据
RUN_20260813_155600_WSL环境,WSL2 环境搭建与依赖安装（Linux ~/osha）,NA,NA,NA,NA,NA,NA,osha-main 复制至 /home/liu/osha（不含 Windows .venv）,python3 -m venv .venv; .venv/bin/pip install -i https://pypi.tuna.tsinghua.edu.cn/simple -r 程序/requirements.txt,/home/liu/osha（WSL Ubuntu 26.04 LTS）,3.14.4（Ubuntu）,"pandas 2.3.3, numpy 2.5.2, scikit-learn 1.9.0, scipy 1.18.0, matplotlib 3.11.1 等",Windows + WSL2（Ubuntu 26.04 LTS）,NA,程序/requirements.txt,e06f5924f250b44b98cd4a97b9227c4ca8fdde6863491cb11fbeee931d1882c7,NA,NA,NA,2026-08-13 15:56:00,2026-08-13 16:06:00,通过,记录表/过程记录_20260813_环境搭建与自检.md,.venv,NA,待核对,待核对,NA,PyPI 官方源首次安装卡死，换清华镜像约50秒完成；python3.14-venv 已用 apt 安装
RUN_20260813_161038_自检Linux,Linux 环境离线自检 smoke_test,NA,NA,NA,NA,NA,NA,osha-main（Linux ~/osha，与Windows基线SHA256一致）,cd ~/osha && MPLBACKEND=Agg .venv/bin/python 程序/smoke_test.py,/home/liu/osha（WSL Ubuntu 26.04 LTS）,3.14.4（.venv）,同RUN_20260813_155600_WSL环境,Windows + WSL2,NA,程序/smoke_test.py; 程序/fixtures/*.csv,c02f1ae2e3332e43f3bd8c5f82693cdf92b4339ae61b863944f4f84bae426e15,NA,NA,NA,2026-08-13 16:10:38,2026-08-13 16:11:28,通过（SMOKE TEST PASS）,记录表/过程记录_20260813_环境搭建与自检.md,NA,NA,待核对,待核对,NA,01/02/03/03b/04/05 全部通过；POSIX 0700/0600 权限门在 Linux ext4 下通过；ISSUE_20260813_001 已解决
RUN_20260813_193500_下载尝试,DOL 官方正式下载尝试（00）,NA,NA,NA,NA,NA,NA,osha-main（Linux ~/osha）,DOL_API_KEY 环境变量 + .venv/bin/python 程序/00_download_official_data.py,/home/liu/osha（WSL Ubuntu 26.04 LTS）,3.14.4（.venv）,同RUN_20260813_155600_WSL环境,Windows + WSL2,NA,程序/00_download_official_data.py; 程序/config.yaml,0f8f8fcee21780e87c269b042873fdbc59d0366b43764cca2aa5f3910ab918c2; 15d26cf0ffc6e3ed6fca982c0087ed497285397ac3767a563f9c447cb12397d4,NA,NA,NA,2026-08-13 19:35:00,2026-08-13 19:37:00,不通过（API 401/413）,记录表/过程记录_20260813_环境搭建与自检.md,NA,NA,待核对,待核对,ISSUE_20260813_002,密钥有效（limit=1/5000/3000 均200）；下载程序把密钥放请求头被DOL拒绝(401)，limit=10000 超6MB响应上限(413)；未生成正式数据
RUN_20260815_094500_字段检查Inspection,Inspection 字段质量检查（只读）,NA,OSHA_20260815_01,NA,NA,NA,NA,osha-main（Linux ~/osha）,/home/liu/osha/.venv/bin/python wsl_check_inspection.py,/home/liu/osha,3.14.4（.venv）,pandas（.venv）,Windows + WSL2,NA,数据/00_原始数据/osha_inspection.csv,173118928f2fe25bc77d65d6f6ac377ca1e26b81afd5dabac95916c39a2274d5,NA,NA,NA,2026-08-15 09:45:00,2026-08-15 09:45:30,完成,记录表/字段检查.csv,字段检查.csv,NA,待核对,待核对,ISSUE_20260815_001,1365781行/36列/必需字段全在；异常项见ISSUE_20260815_001
RUN_20260815_144100_下载完成,正式数据全量下载完成（Inspection+Violation）,NA,OSHA_20260815_01,NA,NA,NA,NA,osha-main（Linux ~/osha）,自动续跑 + 00_download_official_data.py（本地修复版：查询参数密钥/page_limit5000/204处理/断点跳过）,/home/liu/osha,3.14.4（.venv）,pandas（.venv）,Windows + WSL2,NA,数据/00_原始数据/download_manifest.json,见manifest,NA,NA,NA,2026-08-13 19:35:00,2026-08-15 14:41:46,完成,记录表/数据快照记录.csv,osha_inspection.csv; osha_violation.csv; download_manifest.json,173118928f...; 7d27a8f3...,待核对,待核对,NA,"Inspection 1,365,781行；Violation 2,861,703行；manifest complete=true；SHA-256 与文件一致"
RUN_20260815_151000_字段检查Violation,Violation 字段质量检查（只读+最终验收）,NA,OSHA_20260815_01,NA,NA,NA,NA,osha-main（Linux ~/osha）,/home/liu/osha/.venv/bin/python wsl_final_verify.py（33项）,/home/liu/osha,3.14.4（.venv）,pandas（.venv）,Windows + WSL2,NA,数据/00_原始数据/osha_violation.csv,7d27a8f3f4d47c793dc44a666401a075a97bbf7f099ea8bee18c822aca889bec,NA,NA,NA,2026-08-15 15:10:00,2026-08-15 15:11:00,完成,记录表/字段检查.csv,字段检查.csv,NA,待核对,待核对,ISSUE_20260815_005,33/33 PASS；孤儿边界效应与缺失代码见ISSUE_20260815_005
