artifact,source,rows,source_sha256,output_sha256
表1_样本排除流.csv,结果/01_数据审计/样本排除流.csv,9.0,41ad639b115e106b8a4ebdbaae95f5d7d6d6b83c33c932ee22ce2be3141fc2a9,86b9c1effe32825cd7dc7861f1bf966c72e699e817fad4d42b62ea70053c044e
表2_画像指标说明.csv,数据/02_分析数据/feature_dictionary.csv,14.0,4b80a14930d06d7839edea38074bdf4bf054ac30bb43a9ab178f3cb2a3957763,1a71fba7b0a196949409c0a0ba39c4d42ee46baba50eb6df28dd18b862b59c12
表3_Validation方法比较.csv,结果/03_验证/validation_summary.csv,3.0,c0b78bf4b06786aff973a874da87874f7c6de85641456137377950f86b3a58cd,4e32d173544916d1d35121d40cbf626eb1d487ad2db50ff6b9757bda729b8dbf
图1_动态画像研究框架.svg,结果/02_画像/图1_动态画像研究框架.svg,,ecf95b9f1945c517f4afc817233c47a050c7903830abd1f777cc74476706b672,ecf95b9f1945c517f4afc817233c47a050c7903830abd1f777cc74476706b672
图2_样本筛选流程.svg,结果/01_数据审计/图2_样本筛选流程.svg,,24b2ea2182794969bd7db026237a026249f1c20cfb36c2b56af6e9763fe523cb,24b2ea2182794969bd7db026237a026249f1c20cfb36c2b56af6e9763fe523cb
图3_匿名画像时间轨迹.svg,结果/02_画像/图3_匿名画像时间轨迹.svg,,a6cf0dbaadb38f73c5f256e74f9f16498ac8897f106bdf0a83839aaaf73abfba,a6cf0dbaadb38f73c5f256e74f9f16498ac8897f106bdf0a83839aaaf73abfba
表4_Test方法比较.csv,结果/04_正式测试_封存/test_summary.csv + test_quarter_metrics.csv + bootstrap_ci.csv + test_open_record.json,4.0,c5b0549eb0f066396051ccaa3af580f9bf581b28b4ad79013eccd0e27e2d4e6c;dc68bccc61ed3212fa51582a992268c77c19dd15df22f051853a4c2d9fa8637b;60194b74c5c58afa11f3b40f6c6d02b08cbd132c9a0bf1d39556dbe572151ff3;4c41b51d58bb91957ac745735f7e737edb11e3bef2bc329e173d0a882e240e9c,ee9067a170a8d38a709f1560075f562a88e3fdf8e61403a2b7f03c3184b379bf
图4_Test季度方法比较_作图数据.csv,结果/04_正式测试_封存/test_quarter_metrics.csv,24.0,dc68bccc61ed3212fa51582a992268c77c19dd15df22f051853a4c2d9fa8637b,693025fd6381782b2903d2bc817076bb4415f4642102770da5f8fba46971afe3
图4_Test季度方法比较.svg,图4_Test季度方法比较_作图数据.csv,,693025fd6381782b2903d2bc817076bb4415f4642102770da5f8fba46971afe3,dfd86c4ec9b33343d24262b8954f5f23ec28f7def0e5413bc6cab63a91355e24
结果数字索引.csv,冻结结果长表索引,1193.0,,0a7d21c85f6f36f24455ab6731457640b42956487717c1f85906273b41971abf
