field,中文名,group,业务含义,来源,公式,窗口,缺失处理,可用时间,数值增大含义,禁止解释
context_naics_group,截点前最近行业组,Context,同一代理实体截点前最近一条成熟历史检查的NAICS行业组。,"historical_inspection_outcomes.naics_group, open_date, outcome_available_time",在H_i(t)中按open_date取最近记录（同日按稳定顺序决定）的naics_group。,截点前全部成熟历史。,无成熟历史或原值缺失时记UNKNOWN。,open_date与outcome_available_time均严格早于cutoff后才可用。,类别变量，不适用数值增大解释。,不得解释为企业当前行业、真实安全等级或因果风险。
context_site_state,截点前最近州别,Context,同一代理实体截点前最近一条成熟历史检查的州别背景。,"historical_inspection_outcomes.site_state, open_date, outcome_available_time",在H_i(t)中按open_date取最近记录（同日按稳定顺序决定）的site_state。,截点前全部成熟历史。,无成熟历史或原值缺失时记UNKNOWN。,open_date与outcome_available_time均严格早于cutoff后才可用。,类别变量，不适用数值增大解释。,不得解释为企业当前所在州、执法质量或因果风险。
quarter_number,自然季度序号,Context,排序截点所在的自然季度，表示季节背景。,inspection_episode.quarter,quarter_number = ranking_cutoff.quarter。,无历史窗口；由当期截点直接生成。,quarter可解析时无缺失；不可解析则停止运行。,在ranking_cutoff定义时可用，不读取当期结果。,仅表示从第1季度到第4季度的序号变化。,不得将季度序号解释为风险单调增长或因果效应。
history_inspections,成熟历史检查数,Static,同一代理实体在截点前已达到结果可用时间的历史检查数。,"historical_inspection_outcomes.entity_proxy_id, open_date, outcome_available_time",N_i(t) = Σ_{j∈H_i(t)} 1。,截点前全部成熟历史。,无成熟历史时为0。,open_date与outcome_available_time均严格早于cutoff。,可用的成熟历史检查记录更多。,不得解释为违章概率、真实危险程度或因果机制。
history_positive_inspections,成熟历史阳性数,Static,成熟历史检查中在主观察窗内至少签发一条直接关联citation的检查数。,"historical_inspection_outcomes.outcome_positive, outcome_available_time, open_date",Y_i(t) = Σ_{j∈H_i(t)} y_j。,截点前全部成熟历史。,无成熟历史时为0；未成熟记录不得当作阴性。,open_date与outcome_available_time均严格早于cutoff。,可用历史中直接关联citation的检查次数更多。,不得解释为当前必然违章、事故概率或因果效应。
smoothed_positive_rate,Beta-Binomial平滑历史率,Static,对成熟历史阳性比例使用预先固定的Beta先验平滑。,"history_positive_inspections, history_inspections, config.rules.smoothing_alpha/beta",R_i(t) = (Y_i(t)+α)/(N_i(t)+α+β)。,截点前全部成熟历史。,无成熟历史时使用先验均值α/(α+β)。,仅使用open_date与outcome_available_time均早于cutoff的历史及预冻结参数。,成熟历史中直接关联citation的平滑相对频率更高。,不是绝对安全分、事故概率或个体因果风险。
days_since_last_inspection,距上次成熟检查天数,Dynamic,截点与最近一次成熟历史检查开始日期之间的天数。,"historical_inspection_outcomes.open_date, outcome_available_time","D_insp,i(t) = t - max_{j∈H_i(t)} open_date_j。",截点前全部成熟历史中的最近一条。,无成熟历史时保留缺失；模型仅用Train中位数补值并加缺失指示。,对应历史的open_date与outcome_available_time均严格早于cutoff。,距最近一次成熟历史检查的间隔更长。,间隔更长不等于更安全、更危险或监管因果。
days_since_last_positive,距上次成熟阳性天数,Dynamic,截点与最近一次成熟阳性历史检查开始日期之间的天数。,"historical_inspection_outcomes.open_date, outcome_positive, outcome_available_time","D_pos,i(t) = t - max_{j∈H_i(t), y_j=1} open_date_j。",截点前全部成熟阳性历史中的最近一条。,无成熟阳性历史时保留缺失；模型仅用Train中位数补值并加缺失指示。,阳性结果的outcome_available_time与open_date均严格早于cutoff。,距最近一次成熟历史citation检查的间隔更长。,不得解释为当前无违章、已整改或风险因果降低。
inspections_365d,365天内成熟检查数,Dynamic,截点前365天内的成熟历史检查数。,"historical_inspection_outcomes.open_date, outcome_available_time","Σ 1{t-365天 ≤ open_date_j < t, j∈H_i(t)}。","[cutoff-365天, cutoff)。",无符合记录时为0。,窗口内且outcome_available_time严格早于cutoff。,近365天内可用的成熟历史检查更多。,不得解释为当前违章概率或监管因果。
inspections_730d,730天内成熟检查数,Dynamic,截点前730天内的成熟历史检查数。,"historical_inspection_outcomes.open_date, outcome_available_time","Σ 1{t-730天 ≤ open_date_j < t, j∈H_i(t)}。","[cutoff-730天, cutoff)。",无符合记录时为0。,窗口内且outcome_available_time严格早于cutoff。,近730天内可用的成熟历史检查更多。,不得解释为当前违章概率或监管因果。
positives_365d,365天内成熟阳性数,Dynamic,截点前365天内的成熟阳性历史检查数。,"historical_inspection_outcomes.open_date, outcome_positive, outcome_available_time","Σ 1{t-365天 ≤ open_date_j < t, j∈H_i(t), y_j=1}。","[cutoff-365天, cutoff)。",无符合记录时为0；未成熟记录不得当作阴性。,窗口内且阳性结果可用时间严格早于cutoff。,近365天内成熟历史citation检查更多。,不得解释为当前必然违章或因果风险。
positives_730d,730天内成熟阳性数,Dynamic,截点前730天内的成熟阳性历史检查数。,"historical_inspection_outcomes.open_date, outcome_positive, outcome_available_time","Σ 1{t-730天 ≤ open_date_j < t, j∈H_i(t), y_j=1}。","[cutoff-730天, cutoff)。",无符合记录时为0；未成熟记录不得当作阴性。,窗口内且阳性结果可用时间严格早于cutoff。,近730天内成熟历史citation检查更多。,不得解释为当前必然违章或因果风险。
