blind_id,case_id,sample_id,split,quarter,percentile_bucket,industry_group,history_presence,evidence_sufficiency,method_id_placeholder,evaluation(yes表示易懂，no表示需要修改)
BLIND-00001,BENCH-02087,931354590819ea21a710,validation,2022Q3,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00002,BENCH-01629,b72deee91480fa1b5ac7,train,2018Q1,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00003,BENCH-04765,d0acf3dd23005d340997,train,2019Q1,top25,G3,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00004,BENCH-01833,6ccd6a287ef47bfde574,train,2020Q3,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00005,BENCH-00291,9e64323f83438e7f9775,train,2017Q3,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00006,BENCH-00445,27a73d7d94c66ffcceab,validation,2022Q3,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00007,BENCH-00026,2eaf539af5c5253339bd,train,2019Q2,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00008,BENCH-03838,ab03a145671faa35f93d,train,2016Q1,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00009,BENCH-04292,133bbf64a5749867fe80,train,2019Q4,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00010,BENCH-04176,bdfb7d272b2d0dc293c9,train,2018Q3,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
